"X","Indicator","Data.Source","PUBLISH.STATES","Year","WHO.region","Country","Sex","Display.Value","Numeric","Low","High","Comments"
71,"Children aged <5 years underweight (%)","NLIS_310441","Published",1987,"Eastern Mediterranean","Morocco","Male",12.5,12.5,NA,NA,NA
73,"Children aged <5 years underweight (%)","NLIS_310444","Published",1990,"Africa","Mauritania","Female",42.1,42.1,NA,NA,NA
75,"Children aged <5 years underweight (%)","NLIS_310471","Published",1992,"Africa","Namibia","Male",23.4,23.4,NA,NA,NA
78,"Children aged <5 years underweight (%)","NLIS_310526","Published",1992,"Africa","Niger","Female",39.7,39.7,NA,NA,NA
82,"Children aged <5 years underweight (%)","NLIS_310561","Published",1992,"Eastern Mediterranean","Morocco","Female",7.7,7.7,NA,NA,NA
84,"Children aged <5 years underweight (%)","NLIS_310689","Published",1992,"Eastern Mediterranean","Yemen","Female",27.9,27.9,NA,NA,NA
85,"Children aged <5 years underweight (%)","NLIS_310750","Published",1992,"Africa","Algeria","Male",9.8,9.8,NA,NA,NA
87,"Children aged <5 years underweight (%)","NLIS_310904","Published",1980,"Europe","Netherlands","Female",1.1,1.1,NA,NA,NA
88,"Children aged <5 years underweight (%)","NLIS_310967","Published",1992,"Africa","Rwanda","Male",25.3,25.3,NA,NA,NA
90,"Children aged <5 years underweight (%)","NLIS_311002","Published",1993,"Africa","Kenya","Female",17.7,17.7,NA,NA,NA
97,"Children aged <5 years underweight (%)","NLIS_311359","Published",1994,"Americas","Bolivia (Plurinational State of)","Female",9.9,9.9,NA,NA,NA
98,"Children aged <5 years underweight (%)","NLIS_311408","Published",1993,"Eastern Mediterranean","Egypt","Male",8.6,8.6,NA,NA,NA
100,"Children aged <5 years underweight (%)","NLIS_311422","Published",1994,"Africa","Ghana","Female",23.2,23.2,NA,NA,NA
101,"Children aged <5 years underweight (%)","NLIS_311429","Published",1993,"Americas","Nicaragua","Male",10.2,10.2,NA,NA,NA
104,"Children aged <5 years underweight (%)","NLIS_311473","Published",1992,"Western Pacific","China","Male",13.8,13.8,NA,NA,NA
110,"Children aged <5 years underweight (%)","NLIS_311547","Published",1995,"Americas","Haiti","Female",22.7,22.7,NA,NA,NA
112,"Children aged <5 years underweight (%)","NLIS_311549","Published",1993,"South-East Asia","India","Male",52.4,52.4,NA,NA,NA
115,"Children aged <5 years underweight (%)","NLIS_311561","Published",1994,"Africa","Côte d'Ivoire","Female",18,18,NA,NA,NA
119,"Children aged <5 years underweight (%)","NLIS_311591","Published",1993,"Western Pacific","Viet Nam","Male",38,38,NA,NA,NA
121,"Children aged <5 years underweight (%)","NLIS_311605","Published",1995,"Eastern Mediterranean","Libya","Female",3.8,3.8,NA,NA,NA
122,"Children aged <5 years underweight (%)","NLIS_311608","Published",1995,"Americas","Colombia","Male",7,7,NA,NA,NA
128,"Children aged <5 years underweight (%)","NLIS_311651","Published",1995,"Africa","Algeria","Female",10.4,10.4,NA,NA,NA
130,"Children aged <5 years underweight (%)","NLIS_311660","Published",1996,"Eastern Mediterranean","Lebanon","Female",3.3,3.3,NA,NA,NA
131,"Children aged <5 years underweight (%)","NLIS_311665","Published",1996,"Eastern Mediterranean","Egypt","Female",9.8,9.8,NA,NA,NA
132,"Children aged <5 years underweight (%)","NLIS_311674","Published",1995,"Europe","Kazakhstan","Male",8.7,8.7,NA,NA,NA
134,"Children aged <5 years underweight (%)","NLIS_311680","Published",1996,"Americas","Brazil","Female",4.2,4.2,NA,NA,NA
135,"Children aged <5 years underweight (%)","NLIS_311682","Published",1996,"Africa","Mali","Male",39.2,39.2,NA,NA,NA
136,"Children aged <5 years underweight (%)","NLIS_311706","Published",1996,"South-East Asia","Nepal","Female",42.5,42.5,NA,NA,NA
137,"Children aged <5 years underweight (%)","NLIS_311714","Published",1996,"Africa","Benin","Male",29.9,29.9,NA,NA,NA
138,"Children aged <5 years underweight (%)","NLIS_311752","Published",1996,"Africa","United Republic of Tanzania","Male",28.4,28.4,NA,NA,NA
140,"Children aged <5 years underweight (%)","NLIS_311757","Published",1996,"Americas","Peru","Female",4.9,4.9,NA,NA,NA
141,"Children aged <5 years underweight (%)","NLIS_311759","Published",1997,"South-East Asia","Bangladesh","Male",51.9,51.9,NA,NA,NA
146,"Children aged <5 years underweight (%)","NLIS_311827","Published",1996,"Americas","Dominican Republic","Female",4.1,4.1,NA,NA,NA
147,"Children aged <5 years underweight (%)","NLIS_311837","Published",1997,"Africa","Chad","Male",35.9,35.9,NA,NA,NA
149,"Children aged <5 years underweight (%)","NLIS_311841","Published",1997,"Europe","Kyrgyzstan","Male",10.7,10.7,NA,NA,NA
152,"Children aged <5 years underweight (%)","NLIS_311865","Published",1998,"Europe","Armenia","Male",2.8,2.8,NA,NA,NA
155,"Children aged <5 years underweight (%)","NLIS_311915","Published",1998,"Africa","Niger","Female",43.9,43.9,NA,NA,NA
156,"Children aged <5 years underweight (%)","NLIS_311918","Published",1998,"Americas","Nicaragua","Male",11.1,11.1,NA,NA,NA
158,"Children aged <5 years underweight (%)","NLIS_311927","Published",1997,"Eastern Mediterranean","Jordan","Female",3.8,3.8,NA,NA,NA
159,"Children aged <5 years underweight (%)","NLIS_311928","Published",1998,"Africa","Cameroon","Male",20.1,20.1,NA,NA,NA
161,"Children aged <5 years underweight (%)","NLIS_311931","Published",1994,"Eastern Mediterranean","Pakistan","Female",36.5,36.5,NA,NA,NA
162,"Children aged <5 years underweight (%)","NLIS_311993","Published",1998,"Africa","Kenya","Female",15.1,15.1,NA,NA,NA
163,"Children aged <5 years underweight (%)","NLIS_311996","Published",1998,"Europe","Turkey","Male",7,7,NA,NA,NA
167,"Children aged <5 years underweight (%)","NLIS_312017","Published",1999,"Western Pacific","Mongolia","Male",11.3,11.3,NA,NA,NA
168,"Children aged <5 years underweight (%)","NLIS_312045","Published",1995,"Americas","Jamaica","Male",5,5,NA,NA,NA
170,"Children aged <5 years underweight (%)","NLIS_312047","Published",1997,"Americas","Jamaica","Female",3.2,3.2,NA,NA,NA
172,"Children aged <5 years underweight (%)","NLIS_312082","Published",1999,"Americas","Guatemala","Female",17.8,17.8,NA,NA,NA
174,"Children aged <5 years underweight (%)","NLIS_312086","Published",1996,"Western Pacific","Cambodia","Female",38.2,38.2,NA,NA,NA
176,"Children aged <5 years underweight (%)","NLIS_312137","Published",1999,"Africa","Burkina Faso","Male",35.2,35.2,NA,NA,NA
179,"Children aged <5 years underweight (%)","NLIS_312191","Published",2000,"Africa","Niger","Male",44.7,44.7,NA,NA,NA
180,"Children aged <5 years underweight (%)","NLIS_312220","Published",2000,"Africa","Ethiopia","Male",44.4,44.4,NA,NA,NA
182,"Children aged <5 years underweight (%)","NLIS_312226","Published",2000,"Africa","Algeria","Female",5.6,5.6,NA,NA,NA
184,"Children aged <5 years underweight (%)","NLIS_312244","Published",2000,"Europe","Azerbaijan","Female",15,15,NA,NA,NA
186,"Children aged <5 years underweight (%)","NLIS_312277","Published",2000,"Africa","Malawi","Female",20.1,20.1,NA,NA,NA
187,"Children aged <5 years underweight (%)","NLIS_312278","Published",2001,"Africa","Gabon","Male",10.1,10.1,NA,NA,NA
189,"Children aged <5 years underweight (%)","NLIS_312282","Published",2000,"Americas","Colombia","Female",5,5,NA,NA,NA
191,"Children aged <5 years underweight (%)","NLIS_312312","Published",2000,"Western Pacific","Cambodia","Male",40.5,40.5,NA,NA,NA
193,"Children aged <5 years underweight (%)","NLIS_312317","Published",1998,"Americas","Jamaica","Female",2.6,2.6,NA,NA,NA
195,"Children aged <5 years underweight (%)","NLIS_312328","Published",2000,"Africa","Gambia","Male",16.5,16.5,NA,NA,NA
197,"Children aged <5 years underweight (%)","NLIS_312344","Published",2001,"Europe","Armenia","Female",2.1,2.1,NA,NA,NA
200,"Children aged <5 years underweight (%)","NLIS_312353","Published",2000,"Africa","Botswana","Female",11,11,NA,NA,NA
201,"Children aged <5 years underweight (%)","NLIS_312356","Published",2000,"Americas","Dominican Republic","Male",4,4,NA,NA,NA
203,"Children aged <5 years underweight (%)","NLIS_312358","Published",2000,"Africa","Guinea-Bissau","Female",21.5,21.5,NA,NA,NA
205,"Children aged <5 years underweight (%)","NLIS_312363","Published",2000,"Africa","Comoros","Male",28,28,NA,NA,NA
206,"Children aged <5 years underweight (%)","NLIS_312365","Published",2001,"Americas","Honduras","Female",11.9,11.9,NA,NA,NA
207,"Children aged <5 years underweight (%)","NLIS_312367","Published",2000,"Africa","Sierra Leone","Male",28.2,28.2,NA,NA,NA
209,"Children aged <5 years underweight (%)","NLIS_312370","Published",2000,"Africa","Swaziland","Female",8.7,8.7,NA,NA,NA
210,"Children aged <5 years underweight (%)","NLIS_312371","Published",1992,"South-East Asia","Indonesia","Female",26,26,NA,NA,NA
211,"Children aged <5 years underweight (%)","NLIS_312371","Published",1998,"South-East Asia","Indonesia","Male",28.6,28.6,NA,NA,NA
212,"Children aged <5 years underweight (%)","NLIS_312371","Published",2000,"South-East Asia","Indonesia","Female",18.4,18.4,NA,NA,NA
213,"Children aged <5 years underweight (%)","NLIS_312375","Published",1999,"Eastern Mediterranean","Oman","Male",11.7,11.7,NA,NA,NA
214,"Children aged <5 years underweight (%)","NLIS_312387","Published",2001,"Africa","Mali","Female",28.5,28.5,NA,NA,NA
215,"Children aged <5 years underweight (%)","NLIS_312388","Published",2001,"Americas","Nicaragua","Male",8.4,8.4,NA,NA,NA
216,"Children aged <5 years underweight (%)","NLIS_312394","Published",2000,"Africa","Sao Tome and Principe","Female",8.8,8.8,NA,NA,NA
217,"Children aged <5 years underweight (%)","NLIS_312414","Published",2000,"Eastern Mediterranean","Iraq","Male",13.9,13.9,NA,NA,NA
219,"Children aged <5 years underweight (%)","NLIS_312436","Published",2000,"Western Pacific","Mongolia","Female",10.6,10.6,NA,NA,NA
220,"Children aged <5 years underweight (%)","NLIS_312437","Published",2000,"Africa","Liberia","Male",27.6,27.6,NA,NA,NA
222,"Children aged <5 years underweight (%)","NLIS_312471","Published",2002,"South-East Asia","Democratic People's Republic of Korea","Male",19.2,19.2,NA,NA,NA
224,"Children aged <5 years underweight (%)","NLIS_312477","Published",2000,"Europe","Romania","Female",2.8,2.8,NA,NA,NA
225,"Children aged <5 years underweight (%)","NLIS_312477","Published",2001,"Europe","Romania","Male",4.5,4.5,NA,NA,NA
227,"Children aged <5 years underweight (%)","NLIS_312481","Published",2006,"South-East Asia","Thailand","Female",7.1,7.1,NA,NA,NA
229,"Children aged <5 years underweight (%)","NLIS_312522","Published",2002,"Eastern Mediterranean","Jordan","Female",3.2,3.2,NA,NA,NA
230,"Children aged <5 years underweight (%)","NLIS_312523","Published",1997,"Eastern Mediterranean","Morocco","Male",8.2,8.2,NA,NA,NA
231,"Children aged <5 years underweight (%)","NLIS_312529","Published",2002,"South-East Asia","Timor-Leste","Female",38.1,38.1,NA,NA,NA
233,"Children aged <5 years underweight (%)","NLIS_312535","Published",2002,"South-East Asia","Indonesia","Female",20.7,20.7,NA,NA,NA
234,"Children aged <5 years underweight (%)","NLIS_312536","Published",2000,"Western Pacific","Singapore","Female",2.9,2.9,NA,NA,NA
235,"Children aged <5 years underweight (%)","NLIS_312558","Published",2002,"Americas","Guatemala","Female",17.5,17.5,NA,NA,NA
237,"Children aged <5 years underweight (%)","NLIS_312568","Published",2000,"Africa","Kenya","Female",15.2,15.2,NA,NA,NA
238,"Children aged <5 years underweight (%)","NLIS_312580","Published",2002,"Americas","Dominican Republic","Female",3.9,3.9,NA,NA,NA
239,"Children aged <5 years underweight (%)","NLIS_312588","Published",2001,"Eastern Mediterranean","Pakistan","Male",31.6,31.6,NA,NA,NA
241,"Children aged <5 years underweight (%)","NLIS_312590","Published",2003,"Africa","Kenya","Female",13.7,13.7,NA,NA,NA
242,"Children aged <5 years underweight (%)","NLIS_312626","Published",2003,"Africa","Burkina Faso","Male",36.8,36.8,NA,NA,NA
244,"Children aged <5 years underweight (%)","NLIS_312628","Published",2003,"Africa","Ghana","Female",17,17,NA,NA,NA
245,"Children aged <5 years underweight (%)","NLIS_312629","Published",2002,"Europe","Uzbekistan","Male",7.8,7.8,NA,NA,NA
247,"Children aged <5 years underweight (%)","NLIS_312640","Published",2002,"South-East Asia","Bangladesh","Female",43.1,43.1,NA,NA,NA
248,"Children aged <5 years underweight (%)","NLIS_312644","Published",2002,"Africa","Algeria","Male",12.7,12.7,NA,NA,NA
252,"Children aged <5 years underweight (%)","NLIS_312666","Published",2004,"Americas","Bolivia (Plurinational State of)","Male",6.1,6.1,NA,NA,NA
254,"Children aged <5 years underweight (%)","NLIS_312698","Published",2004,"Africa","Cameroon","Male",15.3,15.3,NA,NA,NA
255,"Children aged <5 years underweight (%)","NLIS_312729","Published",2000,"Africa","Central African Republic","Female",19.5,19.5,NA,NA,NA
256,"Children aged <5 years underweight (%)","NLIS_312756","Published",2004,"Europe","The former Yugoslav Republic of Macedonia","Male",1.2,1.2,NA,NA,NA
258,"Children aged <5 years underweight (%)","NLIS_312758","Published",2005,"Eastern Mediterranean","Egypt","Female",4.2,4.2,NA,NA,NA
259,"Children aged <5 years underweight (%)","NLIS_312759","Published",2005,"Africa","Guinea","Male",24.4,24.4,NA,NA,NA
261,"Children aged <5 years underweight (%)","NLIS_312762","Published",2005,"Africa","Ethiopia","Female",32.8,32.8,NA,NA,NA
262,"Children aged <5 years underweight (%)","NLIS_312764","Published",2002,"Europe","Czech Republic","Male",2.5,2.5,NA,NA,NA
264,"Children aged <5 years underweight (%)","NLIS_312766","Published",2005,"Africa","United Republic of Tanzania","Female",15.4,15.4,NA,NA,NA
265,"Children aged <5 years underweight (%)","NLIS_312767","Published",2005,"Africa","Congo","Male",12.9,12.9,NA,NA,NA
267,"Children aged <5 years underweight (%)","NLIS_312769","Published",2005,"Americas","Argentina","Female",2.2,2.2,NA,NA,NA
268,"Children aged <5 years underweight (%)","NLIS_312771","Published",2005,"Americas","Colombia","Male",5.5,5.5,NA,NA,NA
270,"Children aged <5 years underweight (%)","NLIS_312773","Published",2000,"Americas","Jamaica","Female",3,3,NA,NA,NA
271,"Children aged <5 years underweight (%)","NLIS_312774","Published",2001,"Americas","Jamaica","Male",5.5,5.5,NA,NA,NA
273,"Children aged <5 years underweight (%)","NLIS_312776","Published",2004,"Americas","Jamaica","Female",2.4,2.4,NA,NA,NA
274,"Children aged <5 years underweight (%)","NLIS_312778","Published",2002,"Americas","Uruguay","Male",5.9,5.9,NA,NA,NA
276,"Children aged <5 years underweight (%)","NLIS_312779","Published",2003,"Americas","Brazil","Female",3.1,3.1,NA,NA,NA
277,"Children aged <5 years underweight (%)","NLIS_312780","Published",2000,"Western Pacific","Viet Nam","Female",26.7,26.7,NA,NA,NA
278,"Children aged <5 years underweight (%)","NLIS_312781","Published",2004,"Europe","Turkey","Male",3.1,3.1,NA,NA,NA
280,"Children aged <5 years underweight (%)","NLIS_312783","Published",2006,"Europe","Uzbekistan","Female",4.3,4.3,NA,NA,NA
281,"Children aged <5 years underweight (%)","NLIS_312785","Published",2005,"Europe","Armenia","Male",3.4,3.4,NA,NA,NA
283,"Children aged <5 years underweight (%)","NLIS_312788","Published",2005,"Europe","Republic of Moldova","Female",3.4,3.4,NA,NA,NA
284,"Children aged <5 years underweight (%)","NLIS_312789","Published",2002,"Western Pacific","China","Male",7.2,7.2,NA,NA,NA
286,"Children aged <5 years underweight (%)","NLIS_312791","Published",2006,"South-East Asia","Nepal","Female",39.8,39.8,NA,NA,NA
287,"Children aged <5 years underweight (%)","NLIS_312793","Published",2006,"Africa","Niger","Male",42.1,42.1,NA,NA,NA
289,"Children aged <5 years underweight (%)","NLIS_312794","Published",2000,"South-East Asia","Indonesia","Male",25.7,25.7,NA,NA,NA
291,"Children aged <5 years underweight (%)","NLIS_312796","Published",2005,"South-East Asia","Indonesia","Female",21.9,21.9,NA,NA,NA
292,"Children aged <5 years underweight (%)","NLIS_312797","Published",2004,"South-East Asia","Indonesia","Female",18.7,18.7,NA,NA,NA
293,"Children aged <5 years underweight (%)","NLIS_312799","Published",2006,"South-East Asia","India","Male",43.1,43.1,NA,NA,NA
295,"Children aged <5 years underweight (%)","NLIS_312801","Published",2006,"Western Pacific","Cambodia","Female",27.1,27.1,NA,NA,NA
296,"Children aged <5 years underweight (%)","NLIS_312809","Published",2005,"Eastern Mediterranean","Saudi Arabia","Male",6.1,6.1,NA,NA,NA
298,"Children aged <5 years underweight (%)","NLIS_312824","Published",2005,"Europe","Belarus","Female",1,1,NA,NA,NA
299,"Children aged <5 years underweight (%)","NLIS_312826","Published",2006,"Europe","Bosnia and Herzegovina","Male",2.2,2.2,NA,NA,NA
301,"Children aged <5 years underweight (%)","NLIS_312828","Published",1991,"South-East Asia","Bangladesh","Female",65.5,65.5,NA,NA,NA
302,"Children aged <5 years underweight (%)","NLIS_312831","Published",1992,"South-East Asia","Bangladesh","Male",63.5,63.5,NA,NA,NA
304,"Children aged <5 years underweight (%)","NLIS_312835","Published",1994,"South-East Asia","Bangladesh","Female",61.2,61.2,NA,NA,NA
305,"Children aged <5 years underweight (%)","NLIS_312839","Published",1996,"South-East Asia","Bangladesh","Male",56.4,56.4,NA,NA,NA
307,"Children aged <5 years underweight (%)","NLIS_312849","Published",2004,"South-East Asia","Bangladesh","Female",40.7,40.7,NA,NA,NA
309,"Children aged <5 years underweight (%)","NLIS_312854","Published",2006,"Africa","Côte d'Ivoire","Male",18.8,18.8,NA,NA,NA
312,"Children aged <5 years underweight (%)","NLIS_312860","Published",2006,"Europe","Kazakhstan","Female",4.3,4.3,NA,NA,NA
313,"Children aged <5 years underweight (%)","NLIS_312862","Published",2005,"Europe","Tajikistan","Male",16.4,16.4,NA,NA,NA
315,"Children aged <5 years underweight (%)","NLIS_312867","Published",2005,"Africa","Sierra Leone","Female",26,26,NA,NA,NA
316,"Children aged <5 years underweight (%)","NLIS_312870","Published",2007,"Americas","Brazil","Female",2.1,2.1,NA,NA,NA
317,"Children aged <5 years underweight (%)","NLIS_312872","Published",2005,"Western Pacific","Mongolia","Male",5.3,5.3,NA,NA,NA
319,"Children aged <5 years underweight (%)","NLIS_312874","Published",2007,"Africa","Namibia","Female",16.5,16.5,NA,NA,NA
320,"Children aged <5 years underweight (%)","NLIS_312878","Published",2006,"South-East Asia","Bangladesh","Male",39.3,39.3,NA,NA,NA
322,"Children aged <5 years underweight (%)","NLIS_312880","Published",2006,"Eastern Mediterranean","Syrian Arab Republic","Female",8.3,8.3,NA,NA,NA
323,"Children aged <5 years underweight (%)","NLIS_312881","Published",2006,"Americas","Belize","Male",4,4,NA,NA,NA
325,"Children aged <5 years underweight (%)","NLIS_312883","Published",2006,"Africa","Ghana","Female",12.5,12.5,NA,NA,NA
326,"Children aged <5 years underweight (%)","NLIS_312885","Published",2006,"Africa","Uganda","Male",18.2,18.2,NA,NA,NA
328,"Children aged <5 years underweight (%)","NLIS_312887","Published",2007,"Americas","Guyana","Female",10,10,NA,NA,NA
329,"Children aged <5 years underweight (%)","NLIS_312888","Published",2007,"Africa","Democratic Republic of the Congo","Male",30.4,30.4,NA,NA,NA
331,"Children aged <5 years underweight (%)","NLIS_312890","Published",2006,"Africa","Malawi","Female",13.9,13.9,NA,NA,NA
332,"Children aged <5 years underweight (%)","NLIS_312893","Published",2007,"Africa","Zambia","Male",16.9,16.9,NA,NA,NA
334,"Children aged <5 years underweight (%)","NLIS_312895","Published",2007,"Africa","Mauritania","Female",22.8,22.8,NA,NA,NA
336,"Children aged <5 years underweight (%)","NLIS_312910","Published",2007,"Americas","Jamaica","Male",1.9,1.9,NA,NA,NA
337,"Children aged <5 years underweight (%)","NLIS_312913","Published",2004,"Eastern Mediterranean","Lebanon","Female",2.8,2.8,NA,NA,NA
338,"Children aged <5 years underweight (%)","NLIS_312916","Published",2007,"South-East Asia","Indonesia","Male",20.7,20.7,NA,NA,NA
340,"Children aged <5 years underweight (%)","NLIS_312918","Published",2006,"Africa","Burkina Faso","Female",35.8,35.8,NA,NA,NA
341,"Children aged <5 years underweight (%)","NLIS_312919","Published",2007,"Americas","Dominican Republic","Male",3.2,3.2,NA,NA,NA
343,"Children aged <5 years underweight (%)","NLIS_312921","Published",2006,"Western Pacific","Lao People's Democratic Republic","Female",30.6,30.6,NA,NA,NA
344,"Children aged <5 years underweight (%)","NLIS_312923","Published",2007,"Eastern Mediterranean","Libya","Male",6.3,6.3,NA,NA,NA
346,"Children aged <5 years underweight (%)","NLIS_312925","Published",2008,"Eastern Mediterranean","Egypt","Female",5.4,5.4,NA,NA,NA
347,"Children aged <5 years underweight (%)","NLIS_312928","Published",2007,"South-East Asia","Bangladesh","Male",40.2,40.2,NA,NA,NA
349,"Children aged <5 years underweight (%)","NLIS_312932","Published",2005,"Americas","Peru","Female",4.8,4.8,NA,NA,NA
350,"Children aged <5 years underweight (%)","NLIS_312939","Published",2006,"Europe","Germany","Male",0.9,0.9,NA,NA,NA
352,"Children aged <5 years underweight (%)","NLIS_312946","Published",2009,"Africa","Sao Tome and Principe","Male",16.6,16.6,NA,NA,NA
356,"Children aged <5 years underweight (%)","NLIS_312951","Published",2002,"Western Pacific","Viet Nam","Female",23,23,NA,NA,NA
357,"Children aged <5 years underweight (%)","NLIS_312951","Published",2004,"Western Pacific","Viet Nam","Male",24.1,24.1,NA,NA,NA
359,"Children aged <5 years underweight (%)","NLIS_312951","Published",2005,"Western Pacific","Viet Nam","Female",22.6,22.6,NA,NA,NA
360,"Children aged <5 years underweight (%)","NLIS_312951","Published",2007,"Western Pacific","Viet Nam","Male",23.2,23.2,NA,NA,NA
362,"Children aged <5 years underweight (%)","NLIS_312954","Published",2008,"Africa","Guinea","Female",19.7,19.7,NA,NA,NA
363,"Children aged <5 years underweight (%)","NLIS_312955","Published",2008,"Africa","Guinea-Bissau","Female",17,17,NA,NA,NA
365,"Children aged <5 years underweight (%)","NLIS_312963","Published",2008,"Africa","Ghana","Male",15.7,15.7,NA,NA,NA
367,"Children aged <5 years underweight (%)","NLIS_312965","Published",2005,"Africa","Algeria","Female",3.7,3.7,NA,NA,NA
368,"Children aged <5 years underweight (%)","NLIS_312967","Published",2008,"South-East Asia","Bhutan","Male",10.5,10.5,NA,NA,NA
370,"Children aged <5 years underweight (%)","NLIS_312981","Published",1997,"Africa","Equatorial Guinea","Female",12.2,12.2,NA,NA,NA
371,"Children aged <5 years underweight (%)","NLIS_313003","Published",1990,"Western Pacific","China","Male",13.1,13.1,NA,NA,NA
373,"Children aged <5 years underweight (%)","NLIS_313005","Published",1998,"Western Pacific","China","Female",6.6,6.6,NA,NA,NA
375,"Children aged <5 years underweight (%)","NLIS_313010","Published",2002,"Eastern Mediterranean","Kuwait","Male",2.6,2.6,NA,NA,NA
377,"Children aged <5 years underweight (%)","NLIS_313010","Published",2005,"Eastern Mediterranean","Kuwait","Male",2.9,2.9,NA,NA,NA
379,"Children aged <5 years underweight (%)","NLIS_313020","Published",2009,"Africa","Kenya","Female",15.5,15.5,NA,NA,NA
382,"Children aged <5 years underweight (%)","NLIS_313040","Published",2006,"Americas","Suriname","Male",8,8,NA,NA,NA
384,"Children aged <5 years underweight (%)","NLIS_313048","Published",2006,"Eastern Mediterranean","Kuwait","Female",3.4,3.4,NA,NA,NA
385,"Children aged <5 years underweight (%)","NLIS_313048","Published",2007,"Eastern Mediterranean","Kuwait","Male",3.1,3.1,NA,NA,NA
387,"Children aged <5 years underweight (%)","NLIS_313048","Published",2009,"Eastern Mediterranean","Kuwait","Female",1.5,1.5,NA,NA,NA
389,"Children aged <5 years underweight (%)","NLIS_313054","Published",2007,"Africa","Côte d'Ivoire","Male",30.3,30.3,NA,NA,NA
391,"Children aged <5 years underweight (%)","NLIS_313062","Published",2009,"Europe","Albania","Female",6,6,NA,NA,NA
392,"Children aged <5 years underweight (%)","NLIS_313063","Published",2009,"South-East Asia","Maldives","Male",18.4,18.4,NA,NA,NA
393,"Children aged <5 years underweight (%)","NLIS_313066","Published",2010,"South-East Asia","Timor-Leste","Male",46.8,46.8,NA,NA,NA
395,"Children aged <5 years underweight (%)","NLIS_313068","Published",2009,"Eastern Mediterranean","Syrian Arab Republic","Female",8.7,8.7,NA,NA,NA
396,"Children aged <5 years underweight (%)","NLIS_313071","Published",2007,"Americas","Nicaragua","Male",5.6,5.6,NA,NA,NA
398,"Children aged <5 years underweight (%)","NLIS_313073","Published",2009,"Americas","Costa Rica","Female",1.8,1.8,NA,NA,NA
