"Accepted Symbol","Synonym Symbol","Scientific Name","Duration","Active Growth Period","Foliage Color","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (°F)"
"ALVI","","Allium vineale","Perennial","","","","","","","",""
"ALVIV","","Allium vineale ssp. vineale","Perennial","","","","","","","",""
"ALLOT2","","Alloteropsis","","","","","","","","",""
"ALCI3","","Alloteropsis cimicina","Annual","","","","","","","",""
"ALNUS","","Alnus","","","","","","","","",""
"ALIN2","","Alnus incana","Perennial","Spring and Summer","Green","5.0","7.0","32","60","Intermediate","-33"
"ALINR","","Alnus incana ssp. rugosa","Perennial","Spring and Summer","Dark Green","4.8","7.7","21","65","Intermediate","-47"
"ALMA7","","Alnus maritima","Perennial","Spring and Summer","Green","5.0","7.0","36","50","Intermediate","2"
"ALSE2","","Alnus serrulata","Perennial","Spring and Summer","Green","5.0","7.0","32","60","Intolerant","-23"
"ALOPE","","Alopecurus","","","","","","","","",""
"ALAE","","Alopecurus aequalis","Perennial","Spring and Summer","Green","5.5","8.0","18","45","Intermediate","-38"
"ALAEA","","Alopecurus aequalis var. aequalis","Perennial","","","","","","","",""
"ALCA4","","Alopecurus carolinianus","Annual","Spring","Green","4.0","7.5","15","60","Intolerant","-43"
"ALGE2","","Alopecurus geniculatus","Perennial","Spring","Green","4.0","7.5","20","45","Intolerant","-43"
"ALGEG4","","Alopecurus geniculatus var. geniculatus","Perennial","","","","","","","",""
"ALMY","","Alopecurus myosuroides","Annual","Spring","Green","4.0","7.5","35","55","Intolerant","-28"
"ALPR3","","Alopecurus pratensis","Perennial","Spring and Summer","Green","5.8","8.0","18","60","Intolerant","-38"
"ALTER2","","Alternanthera","","","","","","","","",""
"ALBE","","Alternanthera bettzichiana","Perennial","","","","","","","",""
"ALCA5","","Alternanthera caracasana","Perennial","","","","","","","",""
"ALFI8","","Alternanthera ficoidea","Perennial","","","","","","","",""
"ALSE4","","Alternanthera sessilis","Annual, Perennial","","","","","","","",""
"ALTHA","","Althaea","","","","","","","","",""
"ALOF2","","Althaea officinalis","Perennial","","","","","","","",""
"ALYSS","","Alyssum","","","","","","","","",""
"ALAL3","","Alyssum alyssoides","Annual, Biennial","","","","","","","",""
"AMARA","","Amaranthus","","","","","","","","",""
"AMAL","","Amaranthus albus","Annual","","","","","","","",""
"AMBL","","Amaranthus blitoides","Annual","","","","","","","",""
"AMBL2","","Amaranthus blitum","Annual","","","","","","","",""
"AMBLE2","","Amaranthus blitum var. emarginatus","Annual","","","","","","","",""
"AMCA2","","Amaranthus cannabinus","Perennial","","","","","","","",""
"AMCR4","","Amaranthus cruentus","Annual","","","","","","","",""
"AMDE","","Amaranthus deflexus","Annual","","","","","","","",""
"AMHY","","Amaranthus hybridus","Annual","","","","","","","",""
"AMPA","","Amaranthus palmeri","Annual","","","","","","","",""
"AMPU2","","Amaranthus pumilus","Annual","","","","","","","",""
"AMRE","","Amaranthus retroflexus","Annual","","","","","","","",""
"AMSP","","Amaranthus spinosus","Annual","","","","","","","",""
"AMBRO","","Ambrosia","","","","","","","","",""
"AMAR2","","Ambrosia artemisiifolia","Annual","","","","","","","",""
"AMARE","","Ambrosia artemisiifolia var. elatior","Annual","","","","","","","",""
"AMBI2","","Ambrosia bidentata","Annual","","","","","","","",""
"AMTR","","Ambrosia trifida","Annual","","","","","","","",""
"AMTRT2","","Ambrosia trifida var. trifida","Annual","","","","","","","",""
"AMELA","","Amelanchier","","","","","","","","",""
"AMAR3","","Amelanchier arborea","Perennial","Spring and Summer","Dark Green","4.8","7.5","26","80","Tolerant","-47"
"AMARA4","","Amelanchier arborea var. arborea","Perennial","","","","","","","",""
"AMCA4","","Amelanchier canadensis","Perennial","Spring and Summer","Green","5.5","7.5","30","60","Intermediate","-33"
"AMHU2","","Amelanchier humilis","Perennial","","","","","","","",""
"AMIN4","","Amelanchier ×intermedia","Perennial","","","","","","","",""
"AMLA","","Amelanchier laevis","Perennial","Spring and Summer","Green","4.8","7.0","34","60","Tolerant","-38"
"AMNA2","","Amelanchier nantucketensis","Perennial","","","","","","","",""
"AMOB2","","Amelanchier obovalis","Perennial","Spring","Dark Green","5.0","7.0","30","90","Intolerant","-23"
"AMSA","","Amelanchier sanguinea","Perennial","Spring and Summer","Green","4.5","7.2","35","55","Tolerant","-43"
"AMSAS","","Amelanchier sanguinea var. sanguinea","Perennial","","","","","","","",""
"AMST80","","Amelanchier stolonifera","Perennial","","","","","","","",""
"AMIAN","","Amianthium","","","","","","","","",""
"AMMU","","Amianthium muscitoxicum","Perennial","","","","","","","",""
"AMMAN","","Ammannia","","","","","","","","",""
"AMCO","","Ammannia coccinea","Annual","Spring","Green","4.0","5.9","16","60","Intolerant","-38"
"AMLA3","","Ammannia latifolia","Annual","","","","","","","",""
"AMMOP","","Ammophila","","","","","","","","",""
"AMAR4","","Ammophila arenaria","Perennial","Spring and Fall","Green","6.0","8.5","30","60","Intolerant","7"
"AMBR","","Ammophila breviligulata","Perennial","Spring, Summer, Fall","Green","5.8","7.8","35","60","Intolerant","-28"
"AMORP","","Amorpha","","","","","","","","",""
"AMFR","","Amorpha fruticosa","Perennial","Spring and Summer","Green","5.0","8.5","10","65","Intolerant","-38"
"AMPEL3","","Ampelopsis","","","","","","","","",""
"AMAR5","","Ampelopsis arborea","Perennial","Summer","Green","4.0","8.0","35","60","Tolerant","-13"
"AMBR7","","Ampelopsis brevipedunculata","Perennial","","","","","","","",""
"AMCO2","","Ampelopsis cordata","Perennial","Spring and Summer","Green","5.2","7.4","32","60","Tolerant","-8"
"AMPHI4","","Amphicarpaea","","","","","","","","",""
"AMBR2","","Amphicarpaea bracteata","Annual, Perennial","","","","","","","",""
"AMBRB","","Amphicarpaea bracteata var. bracteata","Annual, Perennial","","","","","","","",""
"AMBRC","","Amphicarpaea bracteata var. comosa","Annual, Perennial","","","","","","","",""
"AMPHI2","","Amphicarpum","","","","","","","","",""
"AMPU6","","Amphicarpum purshii","Annual, Perennial","","","","","","","",""
"AMSON","","Amsonia","","","","","","","","",""
"AMTA2","","Amsonia tabernaemontana","Perennial","","","","","","","",""
"AMTAT","","Amsonia tabernaemontana var. tabernaemontana","Perennial","","","","","","","",""
"ANAGA","","Anagallis","","","","","","","","",""
"ANAR","","Anagallis arvensis","Annual, Biennial","","","","","","","",""
"ANARA7","","Anagallis arvensis ssp. arvensis","Annual, Biennial","","","","","","","",""
"ANMI4","","Anagallis minima","Annual","","","","","","","",""
"ANAPH","","Anaphalis","","","","","","","","",""
"ANMA","","Anaphalis margaritacea","Perennial","Spring and Summer","Green","6.0","7.5","10","35","Intermediate","-43"
"ANCHU","","Anchusa","","","","","","","","",""
"ANAR16","","Anchusa arvensis","Annual","","","","","","","",""
"ANAZ","","Anchusa azurea","Perennial","","","","","","","",""
"ANDRO2","","Andropogon","","","","","","","","",""
"ANGE","","Andropogon gerardii","Perennial","Summer","Green","6.0","7.5","12","55","Intolerant","-46"
"ANGL10","","Andropogon glaucopsis","Perennial","","","","","","","",""
"ANGL2","","Andropogon glomeratus","Perennial","Summer","Green","5.0","6.3","35","70","Intolerant","-23"
"ANGLG2","","Andropogon glomeratus var. glomeratus","Perennial","","","","","","","",""
"ANGLH","","Andropogon glomeratus var. hirsutior","Perennial","","","","","","","",""
"ANGY2","","Andropogon gyrans","Perennial","","","","","","","",""
"ANGYG","","Andropogon gyrans var. gyrans","Perennial","","","","","","","",""
"ANTE2","","Andropogon ternarius","Perennial","Summer","Green","4.0","7.5","20","60","Tolerant","-18"
"ANTET","","Andropogon ternarius var. ternarius","Perennial","","","","","","","",""
"ANVI2","","Andropogon virginicus","Perennial","Summer","Green","4.9","7.0","30","45","Intolerant","-18"
"ANVIV","","Andropogon virginicus var. virginicus","Perennial","","","","","","","",""
"ANEMO","","Anemone","","","","","","","","",""
"ANCA8","","Anemone canadensis","Perennial","","","","","","","",""
"ANLA","","Anemone lancifolia","Perennial","","","","","","","",""
"ANQU","","Anemone quinquefolia","Perennial","","","","","","","",""
"ANQUQ","","Anemone quinquefolia var. quinquefolia","Perennial","","","","","","","",""
"ANVI3","","Anemone virginiana","Perennial","","","","","","","",""
"ANVIV2","","Anemone virginiana var. virginiana","Perennial","","","","","","","",""
"ANETH","","Anethum","","","","","","","","",""
"ANGR2","","Anethum graveolens","Annual","","","","","","","",""
"ANGEL","","Angelica","","","","","","","","",""
"ANAT","","Angelica atropurpurea","Perennial","","","","","","","",""
"ANTR2","","Angelica triquinata","Perennial","","","","","","","",""
"ANVE","","Angelica venenosa","Perennial","","","","","","","",""
"ANTEN","","Antennaria","","","","","","","","",""
"ANHO","","Antennaria howellii","Perennial","","","","","","","",""
"ANHON","","Antennaria howellii ssp. neodioica","Perennial","","","","","","","",""
"ANNE","","Antennaria neglecta","Perennial","Spring and Summer","Dark Green","5.5","7.5","11","60","Intolerant","-38"
"ANPA9","","Antennaria parlinii","Perennial","","","","","","","",""
"ANPAF","","Antennaria parlinii ssp. fallax","Perennial","","","","","","","",""
"ANPAP","","Antennaria parlinii ssp. parlinii","Perennial","","","","","","","",""
"ANPL","","Antennaria plantaginifolia","Perennial","","","","","","","",""
"ANSO","","Antennaria solitaria","Perennial","","","","","","","",""
"ANVI13","","Antennaria virginica","Perennial","","","","","","","",""
"ANTHE","","Anthemis","","","","","","","","",""
"ANAR6","","Anthemis arvensis","Annual","","","","","","","",""
"ANCO2","","Anthemis cotula","Annual","","","","","","","",""
"ANTI","","Anthemis tinctoria","Perennial","","","","","","","",""
"ANTHO","","Anthoxanthum","","","","","","","","",""
"ANOD","","Anthoxanthum odoratum","Perennial","","","","","","","",""
"ANODO2","","Anthoxanthum odoratum ssp. odoratum","Perennial","","","","","","","",""
"ANTHR","","Anthriscus","","","","","","","","",""
"ANSY","","Anthriscus sylvestris","Annual, Biennial","","","","","","","",""
"APERA","","Apera","","","","","","","","",""
"APSP","","Apera spica-venti","Annual","","","","","","","",""
"APHAN4","","Aphanes","","","","","","","","",""
"APMI","","Aphanes microcarpa","Annual","","","","","","","",""
"APIOS","","Apios","","","","","","","","",""
"APAM","","Apios americana","Perennial","Spring and Summer","Green","6.0","7.5","28","55","Tolerant","-23"
"APLEC","","Aplectrum","","","","","","","","",""
"APHY","","Aplectrum hyemale","Perennial","","","","","","","",""
"APLUD","","Apluda","","","","","","","","",""
"APMU2","","Apluda mutica","Perennial","","","","","","","",""
"APOCY","","Apocynum","","","","","","","","",""
"APAN2","","Apocynum androsaemifolium","Perennial","","","","","","","",""
"APCA","","Apocynum cannabinum","Perennial","Spring and Summer","Green","4.5","7.0","15","60","Intermediate","-43"
"APFL","","Apocynum ×floribundum","Perennial","","","","","","","",""
"AQUIL","","Aquilegia","","","","","","","","",""
"AQCA","","Aquilegia canadensis","Perennial","","","","","","","",""
"AQVU","","Aquilegia vulgaris","Perennial","","","","","","","",""
"ARABI","","Arabidopsis","","","","","","","","",""
"ARTH","","Arabidopsis thaliana","Annual","","","","","","","",""
"ARABI2","","Arabis","","","","","","","","",""
"ARCA","","Arabis canadensis","Biennial","","","","","","","",""
"ARGL","","Arabis glabra","Annual, Biennial, Perennial","","","","","","","",""
"ARHI","","Arabis hirsuta","Annual, Biennial, Perennial","","","","","","","",""
"ARHIP","","Arabis hirsuta var. pycnocarpa","Annual, Biennial, Perennial","","","","","","","",""
"ARLA","","Arabis laevigata","Biennial","","","","","","","",""
"ARLAB","","Arabis laevigata var. burkii","Biennial","","","","","","","",""
"ARLAL","","Arabis laevigata var. laevigata","Biennial","","","","","","","",""
"ARLY2","","Arabis lyrata","Biennial, Perennial","","","","","","","",""
"ARMI5","","Arabis missouriensis","Perennial","","","","","","","",""
"ARPA2","","Arabis patens","Biennial","","","","","","","",""
"ARSH2","","Arabis shortii","Biennial, Perennial","","","","","","","",""
"ARALI","","Aralia","","","","","","","","",""
"ARHI2","","Aralia hispida","Perennial","","","","","","","",""
"ARNU2","","Aralia nudicaulis","Perennial","Spring and Summer","Dark Green","5.0","7.2","32","50","Tolerant","-38"
"ARRA","","Aralia racemosa","Perennial","","","","","","","",""
"ARRAR","","Aralia racemosa ssp. racemosa","Perennial","","","","","","","",""
"ARSP2","","Aralia spinosa","Perennial","Spring and Summer","Green","4.8","6.6","35","80","Intolerant","-25"
"ARCTI","","Arctium","","","","","","","","",""
"ARLA3","","Arctium lappa","Biennial","","","","","","","",""
"ARMI2","","Arctium minus","Biennial","","","","","","","",""
"ARTO","","Arctium tomentosum","Biennial","","","","","","","",""
"ARCTO3","","Arctostaphylos","","","","","","","","",""
"ARUV","","Arctostaphylos uva-ursi","Perennial","Spring and Summer","Dark Green","5.5","8.0","14","45","Intermediate","-33"
"ARENA","","Arenaria","","","","","","","","",""
"ARSE2","","Arenaria serpyllifolia","Annual","","","","","","","",""
"ARETH","","Arethusa","","","","","","","","",""
"ARBU","","Arethusa bulbosa","Perennial","","","","","","","",""
"ARGEM","","Argemone","","","","","","","","",""
"ARAL3","","Argemone albiflora","Annual, Biennial","","","","","","","",""
"ARALA2","","Argemone albiflora ssp. albiflora","Annual, Biennial","","","","","","","",""
"ARME4","","Argemone mexicana","Annual","","","","","","","",""
"ARGEN","","Argentina","","","","","","","","",""
"ARAN7","","Argentina anserina","Perennial","Spring and Summer","Green","7.0","8.0","11","40","Tolerant","-23"
"ARISA","","Arisaema","","","","","","","","",""
"ARDR3","","Arisaema dracontium","Perennial","","","","","","","",""
"ARTR","","Arisaema triphyllum","Perennial","Spring and Summer","Green","4.8","7.0","34","50","Tolerant","-18"
"ARTRP","","Arisaema triphyllum ssp. pusillum","Perennial","","","","","","","",""
"ARTRS","","Arisaema triphyllum ssp. stewardsonii","Perennial","","","","","","","",""
"ARTRT3","","Arisaema triphyllum ssp. triphyllum","Perennial","","","","","","","",""
"ARIST","","Aristida","","","","","","","","",""
"ARAD","","Aristida adscensionis","Annual","","","","","","","",""
"ARDI4","","Aristida dichotoma","Annual","","","","","","","",""
"ARDIC","","Aristida dichotoma var. curtissii","Annual","","","","","","","",""
"ARDID","","Aristida dichotoma var. dichotoma","Annual","","","","","","","",""
"ARLA6","","Aristida lanosa","Perennial","","","","","","","",""
"ARLO16","","Aristida longespica","Annual","","","","","","","",""
"ARLOG6","","Aristida longespica var. geniculata","Annual","","","","","","","",""
"ARLOL3","","Aristida longespica var. longespica","Annual","","","","","","","",""
"AROL","","Aristida oligantha","Annual","","","","","","","",""
"ARPU8","","Aristida purpurascens","Perennial","","","","","","","",""
"ARPUP4","","Aristida purpurascens var. purpurascens","Perennial","","","","","","","",""
"ARPUV","","Aristida purpurascens var. virgata","Perennial","","","","","","","",""
"ARTU","","Aristida tuberculosa","Annual","","","","","","","",""
"ARIST2","","Aristolochia","","","","","","","","",""
"ARCL","","Aristolochia clematitis","Perennial","","","","","","","",""
"ARMA7","","Aristolochia macrophylla","Perennial","","","","","","","",""
"ARSE3","","Aristolochia serpentaria","Perennial","","","","","","","",""
"ARMOR","","Armoracia","","","","","","","","",""
"ARRU4","","Armoracia rusticana","Perennial","","","","","","","",""
"ARNIC","","Arnica","","","","","","","","",""
"ARAC3","","Arnica acaulis","Perennial","","","","","","","",""
"ARNOG","","Arnoglossum","","","","","","","","",""
"ARAT","","Arnoglossum atriplicifolium","Perennial","","","","","","","",""
"ARRE6","","Arnoglossum reniforme","Perennial","","","","","","","",""
"ARRHE","","Arrhenatherum","","","","","","","","",""
"AREL3","","Arrhenatherum elatius","Perennial","Spring","Green","5.0","7.0","32","50","Intermediate","-38"
"ARELB","","Arrhenatherum elatius var. bulbosum","Perennial","","","","","","","",""
"ARELE","","Arrhenatherum elatius var. elatius","Perennial","","","","","","","",""
"ARTEM","","Artemisia","","","","","","","","",""
"ARAB2","","Artemisia abrotanum","Perennial","","","","","","","",""
"ARAB3","","Artemisia absinthium","Perennial","","","","","","","",""
"ARAN3","","Artemisia annua","Annual","","","","","","","",""
"ARBI2","","Artemisia biennis","Annual, Biennial","","","","","","","",""
"ARBIB","","Artemisia biennis var. biennis","Annual, Biennial","","","","","","","",""
"ARLU","","Artemisia ludoviciana","Perennial","Spring and Summer","White-Gray","6.0","9.0","10","60","Intolerant","-33"
"ARLUL2","","Artemisia ludoviciana ssp. ludoviciana","Perennial","","","","","","","",""
"ARPO4","","Artemisia pontica","Perennial","","","","","","","",""
"ARSC4","","Artemisia scoparia","Biennial","","","","","","","",""
"ARST6","","Artemisia stelleriana","Perennial","","","","","","","",""
"ARVU","","Artemisia vulgaris","Perennial","","","","","","","",""
"ARTHR","","Arthraxon","","","","","","","","",""
"ARHI3","","Arthraxon hispidus","Annual","","","","","","","",""
"ARUNC","","Aruncus","","","","","","","","",""
"ARDI8","","Aruncus dioicus","Perennial","","","","","","","",""
"ARDID2","","Aruncus dioicus var. dioicus","Perennial","","","","","","","",""
"ARDIP","","Aruncus dioicus var. pubescens","Perennial","","","","","","","",""
"ARUND2","","Arundinaria","","","","","","","","",""
"ARGI","","Arundinaria gigantea","Perennial","Spring","Dark Green","5.0","6.9","24","100","Intolerant","-23"
"ARTE4","","Arundinaria tecta","Perennial","","","","","","","",""
"ARUND4","","Arundo","","","","","","","","",""
"ARDO4","","Arundo donax","Perennial","Spring, Summer, Fall","Green","4.8","7.0","35","65","Intermediate","7"
"ASARU","","Asarum","","","","","","","","",""
"ASCA","","Asarum canadense","Perennial","","","","","","","",""
"ASCLE","","Asclepias","","","","","","","","",""
"ASAM","","Asclepias amplexicaulis","Perennial","","","","","","","",""
"ASEX","","Asclepias exaltata","Perennial","","","","","","","",""
