Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag,,
text,"I chose this data set for a few reasons. To effectively convey the key concepts of this section, I wanted a data set that was neither too large nor too small, and one that had at least two CONTINUOUS VARIABLES and one DISCRETE or CATEGORICAL VARIABLE.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"A CONTINUOUS VARIABLE is one that can assume any value within the scope of the problem. For the 'cars' data set, price, city MPG, and weight are all continuous variables, as there is no inherent restriction on the possible values of each of the three variables (except for negative numbers, of course!)",NA,NA,NA,NA,NA,NA,NA,"continuous, discrete, categorical",,
text,"On the other hand, a DISCRETE VARIABLE is a variable that may take on one of a limited, and usually fixed, number of possible values. A CATEGORICAL VARIABLE is similar to a discrete variable, however, instead of assuming a fixed value, the variable is ascribed a fixed categorical description. In our 'cars' data set, the number of passengers is a discrete variable, while the type and drive train are examples of categorical variables. Notice that the number of passengers is a discrete variable since the capacity of each car may only be described in whole numbers.",NA,NA,NA,NA,NA,NA,NA,"continuous, discrete, categorical",,
text,Let's test your knowledge on these different types of variables. Pretend you are going on a walk through town.,NA,NA,NA,NA,NA,NA,NA,"continuous, discrete, categorical",,
mult_question,The distance you walk would be an example of what type of variable?,Continuous; Discrete; Categorical,Continuous,word= Continuous,This variable is one that can assume any value within the scope of the problem.,NA,NA,NA,"continuous, discrete, categorical",,
mult_question,The types of buildings you pass along the way would be an example of what type of variable?,Continuous; Discrete; Categorical,Categorical,word= Categorical,This variable is one that is ascribed a fixed categorical description.,NA,NA,NA,"continuous, discrete, categorical",,
mult_question,The number of people you pass would be an example of what type of variable?,Continuous; Discrete; Categorical,Discrete,word= Discrete,"This variable is one that may take on one of a limited, and usually fixed, number of possible values.",NA,NA,NA,"continuous, discrete, categorical",,
text,You are now ready to learn about data visualization!,NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Before a statistician engages in a thorough analysis of the data set, it is useful to first visualize the data. By organizing the data into a PLOT or GRAPH, a statistician is able to explore and summarize some basic properties of the data set. The discipline of quantitatively describing the main properties of a data set is known as DESCRIPTIVE STATISTICS. In the subsequent sections, I will concurrently introduce techniques for data visualization as well as the related descriptive statistical measures.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"The simplest type of plot is the DOT PLOT, which is used to visually convey the values of one variable. In a dot plot, there is only a horizontal x-axis, and the data points are represented as dots above this axis. Since dot plots effectively display the specific numerical value of one variable for each individual in the data set, it is a particularly useful tool for smaller data sets.",NA,NA,NA,NA,NA,NA,NA,dot plot,,
figure,"Here's a dot plot using the variable 'price' from our 'cars' data set. As you may notice, the price is reported along the x-axis in $1000s, and each point above the axis represents the price of one of the 54 cars in our data set.",NA,NA,NA,NA,mod1_dotplot.R,new,NA,dot plot,,
range_question,"When looking at this dot plot, around what price (in $1000s) does there appear to be the highest density of data points?",NA,13-Jul,range=7-13,Look at the part of the graph where the dots are the darkest and closest together.,NA,NA,NA,dot plot,,
text,"This discussion of the dot plot brings me to our first descriptive statistic, the RANGE of a data set. Just as the name would seem to imply, the range is the difference between the maximum and minimum values of the data set.",NA,NA,NA,NA,NA,NA,NA,R-command,,
cmd_question,"Now that you know what the range measures, take a look back at our dot plot. Using the R-command 'range(cars$price)', determine the exact values for the minimum and maximum of the data set, respectively.",NA,range(cars$price),swirl1cmd=range(cars$price),Type in 'range(cars$price)' and hit enter to see the minimum and maximum prices.,NA,NA,NA,R-command,,
figure,"The first number given is the minimum and the second number given is the maximum. To represent these numbers visually, I've drawn 2 lines on the dot plot. As you can see, the red vertical line on the far left illustrates where the minimum value lies. The red vertical line on the far right illustrates where the maximum value lies. The range of the data is defined as the distance between these two red lines.",NA,NA,NA,NA,mod1_dotplot_add.R,addition,NA,R-command,,
text,"One of the most common descriptive statistics is a MEASURE OF CENTRAL TENDENCY. For a specific data set, CENTRAL TENDENCY seeks to locate a central value or a typical value for a certain variable. It may also be referred to as the AVERAGE or the CENTER of the data. The most common measures of central tendency are the MEAN, MEDIAN, and MODE of a set of data. In the next few sections, I will continue to introduce different types of plots and show you how to calculate and visualize these measures of central tendency.",NA,NA,NA,NA,NA,NA,NA,mean,,
video,"Would you like to watch a brief YouTube video on mean, median, and mode?",NA,NA,NA,NA,NA,NA,http://youtu.be/h8EYEJ32oQ8,mean,,
text,"The ARITHMETIC MEAN, or simply just the MEAN or AVERAGE, is the most common measurement of the center of the data. To calculate the mean, you must first sum all of the values of interest, and then divide that sum by the total number of values used in the sum.",NA,NA,NA,NA,NA,NA,NA,mean,,
cmd_question,"Using the R-command 'sum(cars$price)', can you tell me the sum of the prices of the 54 cars in the data set?",NA,sum(cars$price),swirl1cmd=sum(cars$price),Type in 'sum(cars$price)'.,NA,NA,NA,mean,,
exact_question,"Now divide this number, using the '/' symbol as the division operator, by the total number of values in the data subset. What is this value?",NA,19.99259,exact=19.99259,"Divide 1,079.6 by 54.",NA,NA,NA,mean,,
cmd_question,"Now you understand the process for calculating the mean. Fortunately for you, R contains a built-in function to automatically complete this process for you. Try typing the R-command 'mean(cars$price)'.",NA,mean(cars$price),swirl1cmd=mean(cars$price),Just type mean(cars$price) and hit enter.,NA,NA,NA,R-command,,
text,"Notice that this value, 19.99259, is exactly the same as what you got above when computing the mean on your own without using the mean() function!",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Our second measure of central tendency is known as the MEDIAN. Just as the name would imply, the median is the 'middle value' of the data set.",NA,NA,NA,NA,NA,NA,NA,median,,
text,"To illustrate how to find the median, we will turn our attention to the miles per gallon ('mpgCity') data, since these data are nice round numbers.",NA,NA,NA,NA,NA,NA,NA,median,,
cmd_question,"I have stored the values of the 'mpgCity' variable for ONLY midsize vehicles in a new variable called 'mpg.midsize', which you can view by typing 'mpg.midsize' below. Try it now.",NA,mpg.midsize,swirl1cmd=mpg.midsize,NA,NA,NA,NA,median,,
cmd_question,"In R, you may organize your data values from least to greatest using the 'sort' function. Try using the command 'sort(mpg.midsize)' to sort the values stored in 'mpg.midsize'.",NA,sort(mpg.midsize),swirl1cmd=sort(mpg.midsize),NA,NA,NA,NA,median,,
cmd_question,Try assigning 'sort(mpg.midsize)' to a new variable called 'mpg.sorted' by using the assignment operator we introduced earlier.,NA,mpg.sorted <- sort(mpg.midsize),swirl1cmd=mpg.sorted <- sort(mpg.midsize),Type 'mpg.sorted <- sort(mpg.midsize)',NA,NA,NA,assignment operator,,
text,"When the total number of values is odd, finding the median, or 'middle' value, is quite easy. However, if the total number of values is even, there is no middle value amongst the actual data. In this case, you must calculate the average of the two middle values amongst the data points. In other words, in the case of an even number of values, the MEDIAN is reported as the MEAN of the two middle values of the data set.",NA,NA,NA,NA,NA,NA,NA,median,,
exact_question,"Just by looking at the sorted data you generated above, what do you think the median is?",NA,19,exact=19,"Remember that since we have an even number of values here, the MEDIAN is just the MEAN of the two middle values.",NA,NA,NA,median,,
text,"Even though we have an even number of data points, and thus two middle values, both middle values are 19, so their average is also 19.",NA,NA,NA,NA,NA,NA,NA,median,,
text,"Now that you understand what goes on behind the scenes to compute the median of a data set, I'll show you a quicker way to get the same answer using the R command 'median'. And the nice thing about doing it this way is that we don't need to sort the data beforehand.",NA,NA,NA,NA,NA,NA,NA,NA,,
cmd_question,Try computing the median of our original unsorted 'mpg.midsize' by using R's built-in 'median' function.,NA,median(mpg.midsize),swirl1cmd=median(mpg.midsize),"If we wanted the median of 'x', we would type 'median(x)'.",NA,NA,NA,R-command,,
text,"Now you have learned about the RANGE, MEAN, and MEDIAN of a data set, and how to calculate the value of each using simple R-commands.",NA,NA,NA,NA,NA,NA,NA,NA,,
cmd_question,"Another helpful command in R is the 'summary' command. As you will see, this command reports the values for the minimum, median, mean, and maximum of a particular data set. For now, just ignore the values labeled '1st Qu.' and '3rd Qu.', as we will get to those shortly! Try typing 'summary(cars$mpgCity)' to see exactly what it does.",NA,summary(cars$mpgCity),swirl1cmd=summary(cars$mpgCity),"If we wanted the summary of 'x', we would type 'summary(x)'.",NA,NA,NA,R-command,,
text,Let us continue with other types of plots!,NA,NA,NA,NA,NA,NA,NA,NA,,
text,"A HISTOGRAM is similar to a dot plot, but instead of showing every specific value, it partitions the values of your data into several bins, providing a more condensed representation of the data. Taller bars signify the range of values in which the majority of the data is located, whereas shorter bars represent a range of values in which fewer data points are located. In other words, histograms provide a view of the DATA DENSITY.",NA,NA,NA,NA,NA,NA,NA,histogram,,
video,Would you like to watch a brief YouTube video on histograms?,NA,NA,NA,NA,NA,NA,http://youtu.be/4eLJGG2Ad30,histogram,,
figure,"Here I have created a histogram using the miles per gallon data for ALL of our cars, not just the midsize ones that we worked with above. As you may notice, the values of the MPG along the x-axis are partitioned into bins with a range of 5. The second bin, for example, groups together all of the cars that get 21-25 MPG in the city, and so forth. Note that the bin to the left of this contains the cars with 20 MPG since this value cannot be counted in both bins. The frequency of values in each bin, or the number of cars in each of the intervals, is reported along the y-axis.",NA,NA,NA,NA,mod1_histogram.R,new,NA,histogram,,
mult_question,"By simply looking at this histogram, can you tell me which MPG interval has the highest frequency of values? For example, the lowest frequencies of values occur in the intervals 36-40, 41-45, and 46-50.",16-20; 21-25; 26-30; 31-35; 36-40; 41-45; 46-50,16-20,word= 16-20,Look for the bin values corresponding to the tallest bar in the histogram.,NA,NA,NA,histogram,,
exact_question,How many cars get 16-20 MPG in the city?,NA,25,exact=25,Look at the highest value on the y-axis that the '16-20' bar reaches.,NA,NA,NA,histogram,,
figure,A red line has been drawn on our histogram illustrating the previous answer.,NA,NA,NA,NA,mod1_histogram_add.R,addition,NA,histogram,,
text,"A special type of histogram is known as a STEM-AND-LEAF PLOT. This plot organizes numerical data in order of decimal place value. The left-hand column of the plot contains the STEMS, or the numerical values of the tens digit for each of the data points, organized vertically in increasing order. The LEAVES are located in the right-hand column of the plot and are the values of the ones digit for each data point of the corresponding stem, organized horizontally in increasing order. In a stem-and-leaf plot, the number of leaves is equal to the number of items in the data set. The easiest way to understand a stem-and-leaf plot is to see one!",NA,NA,NA,NA,NA,NA,NA,mode,,
video,Would you like to watch a brief YouTube video on stem-and-leaf plots?,NA,NA,NA,NA,NA,NA,http://youtu.be/OaJXJduRiIE,mode,,
figure,"I have created a stem-and-leaf plot above using the same values for the 'mpgCity' variable as we just used for our histogram. As you can see, a stem-and-leaf plot is a useful type of histogram if you want to see the frequencies of specific values of the data. Often, there will only be one bin per tens digit, but in this case, R gives us the same bins as we saw in our histogram.",NA,NA,NA,NA,mod1_stem.R,new,NA,mode,,
text,"Now is a perfect time to introduce our last measure of central tendency, the MODE. The mode of a data set is the value that occurs most frequently.",NA,NA,NA,NA,NA,NA,NA,mode,,
exact_question,"By looking at the stem-and-leaf plot above, what is the mode of the MPG?",NA,19,exact=19,"Look for which number \repeats\"" the most in the stem-and-leaf plot.""",NA,NA,NA,mode,,
text,"The measures of central tendency are very useful in briefly summarizing a data set, and finding the best representation of the central or average value of a data set. These are not the sole measures used to describe a data set, however. It is possible for very different data sets to exhibit the exact same values for their measures of central tendency. 'How is this possible?' you might ask. Well, let's take a look!",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"Another important property specific to each data set is a measure of how spread out or clustered the data values are. This is known as DISPERSION or VARIABILITY. Three measures of variability are interquartile range, variance, and standard deviation.",NA,NA,NA,NA,NA,NA,NA,NA,,
text,"A BOX PLOT, also called a BOX-AND-WHISKER PLOT, is used to summarize the main descriptive statistics of a particular data set and will help illustrate the concept of variability. Remember that the R-command 'summary(cars$price)' returned values for the minimum, median, mean, and maximum of a data set, as well as two other items, which I promised to teach you about later on? Well, a box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot,,
video,Would you like to watch a brief YouTube video on box-and-whisker plots?,NA,NA,NA,NA,NA,NA,http://youtu.be/BXq5TFLvsVw,box-and-whisker plot,,
figure,"Here I have created a box plot to represent the price data for each of the three car types: large, midsize, and small. You'll notice that each of the 3 figures is composed of a closed 4-sided \box\"" with \""whiskers\"" on the top and bottom",NA,NA,NA,NA,mod1_boxplot.R,new,NA,,NA
text,"The height of each box is referred to as the INTERQUARTILE RANGE (IQR). The more variability within the data, the larger the IQR. On the other hand, less variability within the data means a smaller IQR. The bottom of the box in the box plot corresponds to the value of the first quartile (Q1), and the top of the box corresponds to the value of the third quartile (Q3). To calculate the value of the IQR, simply subtract the value of Q1 from that of Q3.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot,,
text,"The whiskers, or lines, that extend above and below each box represent roughly the upper 25% and lower 25% of data points, respectively. The only exception is when there are outliers, which I'll explain shortly.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot,,
range_question,"Looking at the box plot, what is the approximate interquartile range for the midsize vehicles?",NA,16- 20,range=16- 20,Subtract the Q1 value from the Q3 value. The Q1 value is the minimum value contained in the box and the Q3 value is the maximum value contained in the box.,NA,NA,NA,box-and-whisker plot,,
text,"Let's take a closer look at how quartiles are calculated. We start by sorting the data from least to greatest, just like when calculating the median. The first quartile (Q1), also known at the 25th PERCENTILE (since 25% of the data points fall at or below this value), is simply the median of the first half of the sorted data. Likewise, the third quartile (Q3), also known as the 75th percentile, is the median of the second half of the sorted data.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot,,
figure,"As shown in this plot, the blue horizontal line illustrates how to find the value for the first quartile. The green horizontal line illustrates how to find the value for the third quartile. The interquartile range is the range of data values that is contained in between these two lines.",NA,NA,NA,NA,mod1_boxplot_add.R,addition,NA,box-and-whisker plot,,
figure,"Look again at our box plot of price vs. car type. You may be thinking to yourself, 'What is that circle above the box plots for the midsize cars, and why is there no circle above the box plot for the large cars?' Those circles represent OUTLIERS in the data set. An OUTLIER is an observation that is unusual or extreme relative to the other values in the data set. Outliers are useful in identifying a heavy skew in a distribution, and may signify a data collection or data entry error to a scientist. There are many different conventions for identifying outliers within a data set.",NA,NA,NA,NA,mod1_boxplot.R,new,NA,box-and-whisker plot,,
text_many_question,"When looking at the box plot, which car types appear to have outliers? Separate your answers with a comma.",NA,"small, midsize","word_many=small, midsize",Look for the types of cars that correspond to the box plots with circles above or below them.,NA,NA,NA,box-and-whisker plot,,
text,"Since we have finished our introduction to the interquartile range, we will now take a look at the two other values used when describing the spread of the data: variance and standard deviation. Mathematically, VARIANCE is the average of the squared differences from the mean. Don't worry if you find this a little confusing. Intuitively, variance just represents the total distance of the data from the mean of the data.",NA,NA,NA,NA,NA,NA,NA,standard deviation and variance,,
text,"A low variance indicates that the data points tend to be located near the mean value, while a high variance indicates that the data points are spread further from the mean.",NA,NA,NA,NA,NA,NA,NA,standard deviation and variance,,
text,"A more conventional measure of variability is the STANDARD DEVIATION, which is calculated as the square root of the variance. Statisticians typically refer to standard deviation because it is expressed in the same units as the original data values. If you are interested in the details of how variance and standard deviation are calculated, I recommend taking a look at the following video.",NA,NA,NA,NA,NA,NA,NA,standard deviation and variance,,
video,Would you like to watch a brief YouTube video on variance and standard deviation?,NA,NA,NA,NA,NA,NA,http://youtu.be/E4HAYd0QnRc,standard deviation and variance,,
cmd_question,"Using the R command 'sd()', calculate the standard deviation of the data subset entitled 'mpg.midsize'.",NA,sd(mpg.midsize),swirl1cmd=sd(mpg.midsize),"If you wanted the sd of 'x', you would type 'sd(x)'.",NA,NA,NA,standard deviation and variance,,
exact_question,"Now that you have calculated the standard deviation of this data, can you tell me what is the variance of the data? To square a quantity in R, the notation is 'quantity^2', where the '^' symbol means 'to the power of'.",NA,3.593072,exact=3.593072,Variance is the standard deviation squared.,NA,NA,NA,standard deviation and variance,,
text,"To demonstrate differences in variability, I will again refer to the box plot of car type vs. price.",NA,NA,NA,NA,NA,NA,NA,box-and-whisker plot,,
figure,"As you can see in the box plot, the data for prices of 'midsize' cars vary from around 15 to 62, encompassing a range of approximately 50. This is a great deal larger than the variation for 'small' cars which range from around 5 to 15, encompassing a range of approximately 10. Therefore, since the range is much greater for 'midsize' cars, prices of 'midsize' cars have much higher variability in comparison to the prices of 'small' cars.",NA,NA,NA,NA,mod1_boxplot.R,new,NA,box-and-whisker plot,,
text_question,Now it is your turn! Is the variability of prices of cars of type 'large' higher or lower than that of cars of type 'small'?,NA,higher,word=higher,Look to see if the range of cars of type 'large' is greater or less than that of cars of type 'small'.,NA,NA,NA,box-and-whisker plot,,
text,"While dispersion measures the variability from the mean in a data set, another important property is the shape of the distribution of the data. We will learn much more about distributions in one of my subsequent lessons, but for now just think of DISTRIBUTION as a histogram.",NA,NA,NA,NA,NA,NA,NA,classifying shape of distributions,,
text,"Histograms are particularly useful in viewing and describing the shape of the distribution of the data. A distribution of data may have a left skew, a right skew, or no skew at all. SKEWNESS is a measure of the extent to which the distribution of the data 'leans' to one side or the other.",NA,NA,NA,NA,NA,NA,NA,classifying shape of distributions,,
figure,"A distribution that has a left skew is one in which the left TAIL of the plot is longer. In other words, on a histogram the majority of the distribution is located to the right of the mean. This distribution is also said to be left-skewed. When a distribution is left-skewed, the value of the MEAN is less than that of the MEDIAN, and thus the MEAN is located further to the left of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",NA,NA,NA,NA,mod1_leftskew.R,new,NA,classifying shape of distributions,,
figure,"On the other hand, a distribution that has a right skew is one in which the right tail is longer, such that the majority of the data falls to the left of the mean, when viewed on the histogram. This distribution is said to be right-skewed. When a distribution is right-skewed, the value of the MEAN is greater than that of the MEDIAN, and thus the MEAN is located further to the right of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",NA,NA,NA,NA,mod1_rightskew.R,new,NA,classifying shape of distributions,,
figure,"A plot that has no skew is one in which the tails on both sides of the mean balance out, and is referred to as symmetric. When a distribution is symmetric, the MEAN and MEDIAN are approximately equal in value. In this plot, the green line represents the median and the blue line represents the mean. The green line is the only one visible since the mean and median are so close to the same value.",NA,NA,NA,NA,mod1_symmetric.R,new,NA,classifying shape of distributions,,
figure,"Let's take a look back at the histogram we made earlier, which represents the distribution of the values for city MPG for each of the 54 cars from our 'cars' data set.",NA,NA,NA,NA,mod1_histogram.R,new,NA,classifying shape of distributions,,
mult_question,How would you classify the shape of the distribution represented by this histogram?,Symmetric; Right-skewed; Left-skewed,Right-skewed,word= Right-skewed,Look to see which tail extends further. The plot is said to be skewed in that direction.,NA,NA,NA,classifying shape of distributions,,
mult_question,"Referring to the same histogram, and keeping in mind your answer to the previous question, would you expect the MEDIAN to be greater than, less than, or equal to the MEAN?",Greater than; Less than; Equal to,Less than,word= Less than,Keep in mind that data points that create a plot's long tail will tend to 'pull' the mean in that direction. The median is not affected by how far away the data points are.,NA,NA,NA,classifying shape of distributions,,
text,"Up to this point, I have covered useful techniques to visualize numerical, or continuous variables, but what about categorical variables? Well, one useful way to display a single categorical variable is via a BAR GRAPH, in which the various categories lie on the x-axis and the numerical values corresponding to each category lie on the y-axis.",NA,NA,NA,NA,NA,NA,NA,bar graph,,
figure,"Here is a BAR GRAPH representing the average price for each of the three car types: large, midsize, and small. Because there are numerous data points within each category, the height of each bar is the MEAN price ($1000s) of all of the cars within that category.",NA,NA,NA,NA,mod1_bargraph.R,new,NA,bar graph,,
text_order_question,"According to the bar graph, which car type is the most expensive, on average? Which is the least expensive, on average? Answer the two questions in the same order with a comma separating the two answers.",NA,"midsize, small","word_order=midsize, small",Look at the corresponding car type for the tallest bar to determine which car is the most expensive. Look at the corresponding car type for the shortest bar to determine which car is the least expensive.,NA,NA,NA,bar graph,,
figure,The 'midsize' bar has been highlighted green and is the most expensive on average. The 'small' bar has been highlighted blue and is the least expensive on average.,NA,NA,NA,NA,mod1_bargraph_add.R,addition,NA,bar graph,,
range_question,"According to the bar graph, what is the average price for a 'large' car (in $1000s)?",NA,22- 26,range=22- 26,"Look at the highest value on the y-axis that the \large\"" bar reaches.""",NA,NA,NA,bar graph,,
figure,The red horizontal line added to the plot illustrates how to find your previous answer.,NA,NA,NA,NA,mod1_bargraph_add1.R,addition,NA,bar graph,,
text,"Up until now, every plot I have introduced has involved only one variable. But what if you are trying to analyze two variables? A SCATTER PLOT provides a comparative view of data for two numerical variables, with one on the x-axis and the other on the y-axis. This type of a plot is useful because it allows you to see whether two variables are related and to what degree.",NA,NA,NA,NA,NA,NA,NA,"continous, discrete, categorical",,
