Class,Output,AnswerChoices,CorrectAnswer,AnswerTests,Hint,Figure,FigureType,VideoLink,Tag
mult_question,"By simply looking at this histogram, can you tell me which MPG interval has the highest frequency of values? For example, the lowest frequencies of values occur in the intervals 36-40, 41-45, and 46-50.",16-20; 21-25; 26-30; 31-35; 36-40; 41-45; 46-50,16-20,word= 16-20,Look for the bin values corresponding to the tallest bar in the histogram. ,NA,NA,NA,histogram
exact_question,How many cars get 16-20 MPG in the city?,NA,25,exact=25,Look at the highest value on the y-axis that the '16-20' bar reaches.,NA,NA,NA,histogram
figure,A red line has been drawn on our histogram illustrating the previous answer.,NA,NA,NA,NA,mod1_histogram_add.R,addition,NA,histogram
text,"Histograms are particularly useful in viewing and describing the shape of the distribution of the data. A distribution of data may have a left skew, a right skew, or no skew at all. SKEWNESS is a measure of the extent to which the distribution of the data 'leans' to one side or the other. ",NA,NA,NA,NA,NA,NA,NA,classifying shape of a distribution
figure,"A distribution that has a left skew is one in which the left TAIL of the plot is longer. In other words, on a histogram the majority of the distribution is located to the right of the mean. ",NA,NA,NA,NA,mod1_leftskew.R,new,NA,classifying shape of a distribution
text,"When a distribution is left-skewed, the value of the MEAN is less than that of the MEDIAN, and thus the MEAN is located further to the left of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",NA,NA,NA,NA,NA,NA,NA,classifying shape of a distribution
figure,"On the other hand, a distribution that has a right skew is one in which the right tail is longer, such that the majority of the data falls to the left of the mean, when viewed on the histogram.",NA,NA,NA,NA,mod1_rightskew.R,new,NA,classifying shape of a distribution
text,"When a distribution is right-skewed, the value of the MEAN is greater than that of the MEDIAN, and thus the MEAN is located further to the right of the distribution. In this plot, the green line represents the median and the blue line represents the mean.",NA,NA,NA,NA,NA,NA,NA,classifying shape of a distribution
figure,"A plot that has no skew is one in which the tails on both sides of the mean balance out, and is referred to as symmetric. When a distribution is symmetric, the MEAN and MEDIAN are approximately equal in value. ",NA,NA,NA,NA,mod1_symmetric.R,new,NA,classifying shape of a distribution
text,"In this plot, the green line represents the median and the blue line represents the mean. The green line is the only one visible since the mean and median are close to the same value.",NA,NA,NA,NA,NA,NA,NA,classifying shape of a distribution
figure,"Now, let's take a look back at the histogram we made earlier, which represents the distribution of the values for city MPG for each of the 54 cars from our 'cars' data set. ",NA,NA,NA,NA,mod1_histogram.R,new,NA,classifying shape of a distribution
mult_question,How would you classify the shape of the distribution represented by this histogram?,Symmetric; Right-skewed; Left-skewed,Right-skewed,word= Right-skewed,"Look to see which end of the tail extends longer. The data will be skewed in that direction. Or, look to see whether the tails extend to relatively the same length on each side.",NA,NA,NA,classifying shape of a distribution
mult_question,"Referring to the histogram above, and keeping in mind the real shape of the distribution, would you expect the MEDIAN to be greater than, less than, or equal to the MEAN?",Greater than; Less than; Equal to,Less than,word= Less than,Reread above to figure out what the value of the median is in comparison to the mean when a distribution is right-skewed.,NA,NA,NA,classifying shape of a distribution
text,"A special type of histogram is known as a STEM-AND-LEAF PLOT. This plot organizes numerical data in order of decimal place value. The left-hand column of the plot contains the STEMS, or the numerical values of the tens digit for each of the data points, organized vertically in increasing order. The LEAVES are located in the right-hand column of the plot and are the values of the ones digit for each data point of the corresponding stem, organized horizontally in increasing order. ",NA,NA,NA,NA,NA,NA,NA,stem-and-leaf plot
text,"In a stem-and-leaf plot, the number of leaves is equal to the number of items in the data set. The easiest way to understand a stem-and-leaf plot is to see one!",NA,NA,NA,NA,NA,NA,NA,stem-and-leaf plot
video,Would you like to watch a brief YouTube video on stem-and-leaf plots?,NA,NA,NA,NA,NA,NA,http://youtu.be/OaJXJduRiIE,stem-and-leaf plot
figure,"I have created a stem-and-leaf plot above using the same values for the 'mpgCity' variable as we just used for our histogram. As you can see, a stem-and-leaf plot is a useful type of histogram if you want to see the frequencies of specific values of the data. Often, there will only be one bin per tens digit, but in this case, R gives us the same bins as we saw in our histogram.",NA,NA,NA,NA,mod1_stem.R,new,NA,stem-and-leaf plot
exact_question,"Demonstrated on this stem-and-leaf plot, how many occurences of the value '22' are there in this particular data set?",NA,4,exact=4,NA,NA,NA,NA,stem-and-leaf plot
figure,"The final plot that can be used for discrete or continuous variables is known as the BOX PLOT, also called a BOX-AND-WHISKER PLOT. As you previously learned, this plot is used to summarize the main descriptive statistics of a particular data set and help illustrates the concept of variability. I have created a box-and-whisker plot so that you can be reminded of what it looks like.",NA,NA,NA,NA,mod1_boxplot.R,new,NA,R-command
cmd_question,"A box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set. The R-command 'summary(cars$price)' returns values for these main descriptive statistics. Try this now.",NA,summary(cars$price),swirl1cmd=summary(cars$price),NA,NA,NA,NA,R-command
text,"Up until now, every plot I have introduced has involved only one continous or discrete variable.But what if you are trying to analyze a categorical variable or two variables? In the next lesson, we will learn about the plots that are used for categorical variables and multiple variables. If you aren't sure what the difference is between continous, discrete, and categorical variables don't worry because we will discuss this in the next lesson. ",NA,NA,NA,NA,NA,NA,NA,NA
